0.02	2.0	5.0	9.135	6.132	4.4718	3.504	2.6858	2.2533	1.7622	1.6084	1.4265	0.486435
0.02	2.0	5.0	6.4263	4.2761	2.8616	2.1447	1.6746	1.3088	1.1005	0.91891	0.82859	0.27457
0.02	2.0	5.0	12.724	8.5812	5.8005	4.0352	2.6627	2.1326	1.8455	1.5378	1.2669	0.667508
0.02	2.0	5.0	5.1421	3.0102	2.0524	1.3896	0.99411	0.81895	0.7086	0.58523	0.46703	0.186825
0.02	2.0	5.0	9.3435	5.81	4.0493	3.3951	2.5857	2.3021	1.9867	1.6715	1.4964	0.43097
0.02	2.0	5.0	8.878	6.2884	4.4407	2.8373	2.2247	1.9167	1.5272	1.2681	1.1018	0.492436
0.02	2.0	5.0	6.7419	4.1072	2.6563	1.9109	1.4912	1.2179	0.99542	0.8745	0.72873	0.251795
0.02	2.0	5.0	4.3379	2.6829	1.8112	1.3295	1.0307	0.89822	0.71383	0.58544	0.49988	0.152344
0.02	2.0	5.0	3.1896	1.9067	1.2613	0.93362	0.66952	0.53709	0.43355	0.3764	0.32	0.094451
0.02	2.0	5.0	7.0741	4.2567	2.9204	2.2311	1.5815	1.2507	1.0206	0.94554	0.81603	0.2933
0.02	2.0	5.0	4.749	3.5287	2.3671	1.8548	1.3429	1.1335	0.93594	0.78422	0.70145	0.209393
0.02	2.0	5.0	10.063	5.5263	3.8501	2.9511	2.0753	1.7906	1.4917	1.2602	1.0555	0.400115
0.02	2.0	5.0	6.5763	4.1299	2.8044	2.0284	1.5515	1.3321	1.1395	1.007	0.86432	0.278514
0.02	2.0	5.0	11.199	7.313	5.1441	4.1073	3.0025	2.5368	2.1635	1.7989	1.4601	0.572681
0.02	2.0	5.0	10.146	7.2805	4.6516	4.0279	2.9917	2.6578	2.2439	2.0551	1.765	0.511536
0.02	2.0	5.0	8.5448	5.523	4.165	3.2872	2.4248	2.0147	1.7599	1.4365	1.2071	0.457281
0.02	2.0	5.0	4.6779	2.7092	1.8426	1.4289	1.1476	0.98097	0.77217	0.63332	0.54133	0.157674
0.02	2.0	5.0	12.335	7.5068	5.3873	4.2374	3.1362	2.4859	2.1331	1.9403	1.7373	0.629024
0.02	2.0	5.0	5.5458	3.3249	2.3177	1.6788	1.3507	1.1272	0.91473	0.81576	0.70374	0.221655
0.02	2.0	5.0	12.013	7.3547	5.2949	4.2022	2.9111	2.3925	1.9639	1.7444	1.5089	0.613743
0.02	2.0	5.0	5.1382	3.1675	2.2617	1.6229	1.2101	1.0613	0.96826	0.83934	0.74905	0.199478
0.02	2.0	5.0	6.6077	4.5708	2.7008	1.85	1.3927	1.1376	0.92299	0.74711	0.61332	0.272396
0.02	2.0	5.0	3.8014	2.2176	1.489	1.2456	0.93296	0.77412	0.63746	0.55895	0.49899	0.11669
0.02	2.0	5.0	9.2225	6.0557	3.7809	3.0243	2.3457	2.1417	1.8365	1.5328	1.3086	0.394029
0.02	2.0	5.0	4.7149	3.0327	2.2575	1.7193	1.3671	1.2191	1.0817	0.94612	0.86522	0.198671
0.02	2.0	5.0	3.385	2.3562	1.5079	1.2367	0.94488	0.81986	0.71638	0.63541	0.58675	0.133157
0.02	2.0	5.0	10.037	6.4984	4.088	2.9376	2.0056	1.6137	1.3912	1.2176	0.9868	0.439421
0.02	2.0	5.0	6.3514	4.0589	2.6956	2.0116	1.5407	1.2967	1.1035	0.90793	0.79111	0.258321
0.02	2.0	5.0	9.4237	6.2866	3.6423	2.613	1.9513	1.6338	1.3073	1.0728	0.8767	0.38264
0.02	2.0	5.0	6.7088	4.7729	3.0081	2.3403	1.7896	1.653	1.3801	1.1063	0.9097	0.293438
0.02	2.0	5.0	9.0973	5.663	4.2928	3.1485	2.5353	2.0754	1.6884	1.5127	1.3816	0.462647
0.02	2.0	5.0	3.1554	1.7059	1.1348	0.87598	0.64557	0.4986	0.37315	0.33624	0.29195	0.085365
0.02	2.0	5.0	11.876	7.4194	5.1801	4.2437	3.4216	2.964	2.4066	2.1019	1.8166	0.580207
0.02	2.0	5.0	10.796	7.2385	4.7857	3.3762	2.4889	2.0775	1.7094	1.4153	1.1772	0.546061
0.02	2.0	5.0	10.26	7.028	5.2599	3.8425	2.9707	2.4344	2.1088	2.0206	1.7741	0.60494
0.02	2.0	5.0	10.92	7.3038	5.2259	3.9127	3.0632	2.6911	2.2666	1.9568	1.704	0.600937
0.02	2.0	5.0	6.7032	3.9327	2.6286	2.0302	1.5026	1.2255	1.0316	0.86367	0.75001	0.251837
