0.02 2.0 5.0 7.8851 5.394 3.4189 2.8498 2.3513 1.9368 1.6468 1.4567 1.2519 0.346776
0.02 2.0 5.0 7.7459 5.1505 3.6209 2.9536 2.4662 2.0658 1.8453 1.6716 1.4647 0.374038
0.02 2.0 5.0 11.547 7.906 5.4376 4.3902 3.7884 3.3301 2.8964 2.5262 2.1528 0.59043
0.02 2.0 5.0 6.4073 4.2491 2.862 2.1425 1.7187 1.4752 1.2672 1.1312 0.99372 0.282219
0.02 2.0 5.0 7.352 5.1928 3.7894 3.142 2.5593 2.1688 1.8794 1.6258 1.3987 0.383074
0.02 2.0 5.0 12.395 8.2902 5.8098 4.499 3.7388 3.1995 2.7661 2.4294 2.0738 0.6369
0.02 2.0 5.0 3.3579 2.3215 1.6337 1.2123 0.97408 0.81161 0.68772 0.59134 0.51321 0.137314
0.02 2.0 5.0 12.488 8.968 6.1097 4.9156 4.157 3.6533 3.2514 2.9034 2.5063 0.666102
0.02 2.0 5.0 4.7991 3.1525 2.1543 1.5921 1.3884 1.2657 1.1334 0.99475 0.84488 0.198399
0.02 2.0 5.0 9.4875 6.2444 4.7613 3.8005 3.1195 2.6493 2.2434 2.0213 1.7866 0.502411
0.02 2.0 5.0 8.696 5.4162 3.809 2.9618 2.3452 1.9259 1.6183 1.4329 1.2632 0.390902
0.02 2.0 5.0 9.5659 6.6937 4.6834 3.8989 3.35 2.9583 2.7194 2.4655 2.1958 0.489932
0.02 2.0 5.0 6.4846 4.5189 3.1337 2.4119 1.8597 1.5372 1.2365 1.0577 0.91301 0.314092
0.02 2.0 5.0 9.0279 5.7068 4.0719 3.5654 3.0466 2.561 2.1996 1.9221 1.667 0.419233
0.02 2.0 5.0 10.9 7.2282 5.0511 4.1037 3.4058 2.8803 2.4977 2.1991 1.9179 0.535343
0.02 2.0 5.0 3.1319 2.4347 1.6583 1.3264 1.1263 0.9833 0.85075 0.73531 0.62717 0.13895
0.02 2.0 5.0 3.7658 2.7018 1.7279 1.4387 1.2773 1.157 1.0537 0.92767 0.79337 0.154799
0.02 2.0 5.0 12.506 8.0271 5.6466 4.1848 3.5257 3.0188 2.5566 2.2761 1.9662 0.617057
0.02 2.0 5.0 9.3327 6.5277 4.5075 3.4193 2.8277 2.4994 2.1668 1.9161 1.689 0.475708
0.02 2.0 5.0 5.2114 3.5861 2.5225 2.1813 1.8186 1.5296 1.375 1.2424 1.0972 0.237691
0.02 2.0 5.0 6.9012 4.769 3.3241 2.6949 2.188 1.8369 1.5685 1.3889 1.2066 0.331427
